"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tcim",590.063155717276,2.25292388561109,0.261889122127157,8.60258672568009,7.79392182476324e-18,1.26627847886928e-13
"Sult2a7",699.245714394572,2.36191480527347,0.325766602149842,7.2503282708737,4.15762718422876e-13,3.37744844310823e-09
"Rgs16",3818.35021926493,2.60730370300455,0.378196194748362,6.89405059915886,5.42257219296583e-12,2.93668434730386e-08
"Dpy19l3",191.929788843383,-3.41342593102199,0.58393399351458,-5.84556811032232,5.04842316898447e-09,2.05054328066227e-05
"Spaca6",189.346800820505,-2.00871288633102,0.363449166252397,-5.52680559717138,3.26113972741002e-08,0.000103760122245504
"Serpina7",1586.51082430377,-1.96107212419161,0.35666030205432,-5.49843117637727,3.83185039375285e-08,0.000103760122245504
"Lgals4",698.291281880892,1.49288349808036,0.280422080053088,5.32370167783413,1.01676606653682e-07,0.000235991404043195
"Lrtm1",102.249905015299,2.4204271146912,0.459380840473122,5.26888999593099,1.37251180329985e-07,0.000278739990852659
"Gm20627",33.4666045711639,5.23909944866174,0.999252495190065,5.24301863030647,1.579705815548e-07,0.000285172004280092
"Gm16573",134.896659724541,1.96439040516179,0.381378397634375,5.15076474532005,2.59426438702156e-07,0.000421490134959392
"Angptl4",2644.80839724994,1.23357898309944,0.24508035112483,5.03336549600062,4.81943000571586e-07,0.000711829811844233
"Gm40794",444.619638669486,2.2044563409715,0.439879781341285,5.01149731012789,5.40081386077303e-07,0.000731225189966495
"Slc25a47",10671.3427539105,1.13978898941261,0.228231932129524,4.99399439323753,5.9143115327021e-07,0.00073915245747547
"Gdf15",671.62210696577,2.07551936175677,0.418384863299763,4.96078979862546,7.02071332580656e-07,0.000814753781459852
"Thrsp",3593.53003960089,1.80449247577363,0.371849130508265,4.85275432352669,1.21758488843413e-06,0.00131880677882595
"Rec8",187.740410308801,-1.83498110034507,0.383626360448049,-4.78325081259258,1.72482682766278e-06,0.00175145384181482
"C4a",844.545154849687,-1.63182479990123,0.342995997505716,-4.75756222162339,1.95944869209005e-06,0.00187265664119924
"St3gal5",3521.54308398399,1.34669038101765,0.285723837764872,4.71325875906046,2.43786300864532e-06,0.00220044223897003
"Cavin2",401.326112443674,1.46048256221022,0.312194142158279,4.67812288889704,2.89513027874077e-06,0.00247564113887902
"Gm29919",95.6599089117831,-2.87463269537691,0.620608748904886,-4.6319564467137,3.6222636500138e-06,0.00294254587608871
"Fst",146.676653913747,-1.98828923676994,0.431266109230771,-4.6103535478741,4.01984745025542e-06,0.00311002197734761
"C730027H18Rik",196.235183441147,-1.96227705581367,0.434323338131132,-4.51800970276485,6.24236244235056e-06,0.00448008872107258
"A930033H14Rik",228.692341553571,1.76208268729269,0.390303500516147,4.51464740890734,6.34221952266076e-06,0.00448008872107258
"Zfp980",12.1277994451777,-7.13063072686385,1.58606287207828,-4.49580584250126,6.93069576564082e-06,0.0046917922543486
"Gm36787",47.3371974532355,2.93479752591716,0.658281249486689,4.45827300748068,8.26226290273013e-06,0.00536947941522626
"1810055G02Rik",520.152548342359,1.51996244293416,0.341575821216225,4.44985373239282,8.59287914817512e-06,0.00536955798155389
"Galns",119.913481815072,-2.05465235690664,0.463978662336241,-4.42833372241945,9.49638876753982e-06,0.00571436401134146
"C9",4664.3676626194,-1.1241901180128,0.254721917614381,-4.41340159708869,1.01758981220261e-05,0.00586964240357128
"Egfr",3887.90741052281,-1.21629527458004,0.276369894078574,-4.40096877641182,1.07768633215568e-05,0.00586964240357128
"Mfsd2a",2329.01974895396,1.30907625155042,0.29753518027171,4.399736025686,1.08382638091425e-05,0.00586964240357128
"Zfp982",95.4579770814816,-3.09938047712583,0.708542969544327,-4.37430136258226,1.21821991128314e-05,0.00638465125761846
"Bhmt",35816.389752397,1.06331513788934,0.243896937353375,4.3596904062339,1.30246581932089e-05,0.00647324325313579
"Il1rn",136.103074451456,1.88826248470446,0.433323684744657,4.35762583763948,1.31480905615487e-05,0.00647324325313579
"Tk1",611.575597133017,1.15104112520827,0.266220994711979,4.32363017219422,1.53482506906964e-05,0.00725223677531591
"Gm26908",138.809074774843,1.80364936665237,0.418204422266879,4.31284144934595,1.61169700332317e-05,0.00725223677531591
"Clec2h",67.9238159774263,-3.08540522822416,0.715657326926716,-4.31128853451969,1.62305949049899e-05,0.00725223677531591
"Zfhx2",298.330663651164,-1.36243846284229,0.316299224732963,-4.30743535331944,1.65158343501378e-05,0.00725223677531591
"Osgin1",1963.07320502864,-1.34296131968521,0.312787092491627,-4.29353177264232,1.7585313549807e-05,0.00727132845122588
"C8a",5115.5457854182,-1.22789814363554,0.286223334991428,-4.29000012760076,1.78673015598338e-05,0.00727132845122588
"Gm15638",199.652391762494,-1.54720084580414,0.360689052927482,-4.2895697367206,1.79019596263332e-05,0.00727132845122588
"Alas2",330.431651632055,-2.10861882335719,0.493833645670642,-4.26989704294777,1.95563221715932e-05,0.00767242516391501
"Gm13165",12.1116423779347,-7.1288723705102,1.67079598700722,-4.26675215044038,1.98339297645369e-05,0.00767242516391501
"Pgp",439.30943570581,-1.16431512618414,0.273690710837512,-4.25412730531209,2.09865884764882e-05,0.00792951402273265
"Zmat1",173.695346128389,1.38630086900226,0.327711259970787,4.23025095056496,2.33430754212666e-05,0.00861943059930271
"Cldn2",917.262212710427,-1.0872905602263,0.258775695006209,-4.20167187726114,2.64950973326043e-05,0.00949985125725156
"Leap2",746.77134946252,1.79979681182306,0.428700208750515,4.19826437003314,2.68968522086275e-05,0.00949985125725156
"Cyp3a11",70991.4698477439,-1.30588005052363,0.313148812388299,-4.17015808095853,3.04388423925768e-05,0.0105221249436637
"N4bp2l1",1481.51408317373,1.02997851628621,0.247903647287596,4.15475337920834,3.2563858250634e-05,0.0110221876041261
"Gm27177",61.4199586641764,2.44742876348165,0.59216450996069,4.13302168960467,3.58024925229412e-05,0.0118710835922495
"Gm826",43.8204586572586,2.33430747301785,0.565573470824223,4.12732844349296,3.67002037401079e-05,0.0119253642033107
"Wnk4",81.6053204275595,-1.93254299104164,0.470912484619112,-4.10382619735541,4.06372798955204e-05,0.0129457624796572
"Ccnb1ip1",22.589285454392,4.39838179438424,1.08080139248224,4.06955600259048,4.71028167070863e-05,0.0147169127507698
"Lhx6",60.8306599246876,-2.50599668119041,0.618267494051822,-4.05325640649056,5.05095900008341e-05,0.0154835718630859
"Nt5e",842.13695086156,1.6199159402064,0.40017587850996,4.04800995561775,5.16549498164347e-05,0.0155414438827336
"Slc35e3",364.981361534417,-1.32066976675947,0.329890028385473,-4.00336370645395,6.24481839846632e-05,0.0184471935490695
"Mthfd1l",48.147984618631,-2.33238952813317,0.583432012623372,-3.9977057783403,6.39593818044532e-05,0.0185195883842553
